Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D62,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,234.95,-106.3625,180.0,bottom
D63,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,258.7625,-106.3625,180.0,bottom
D64,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,289.7188,-106.3625,180.0,bottom
D65,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,314.31,-117.9425,90.0,bottom
D66,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,327.2063,-106.1275,0.0,bottom
RZ1,RP2040-Zero,RP2040-Zero,322.015,-41.76,0.0,bottom
SW1,1u,Kailh_socket_MX_optional,38.675,-39.0525,180.0,top
SW2,1u,Kailh_socket_MX_optional,57.725,-39.0525,180.0,top
SW3,1u,Kailh_socket_MX_optional,76.775,-39.0525,180.0,top
SW4,1u,Kailh_socket_MX_optional,95.825,-39.0525,180.0,top
SW5,1u,Kailh_socket_MX_optional,114.875,-39.0525,180.0,top
SW6,1u,Kailh_socket_MX_optional,133.925,-39.0525,180.0,top
SW7,1u,Kailh_socket_MX_optional,152.975,-39.0525,180.0,top
SW8,1u,Kailh_socket_MX_optional,172.025,-39.0525,180.0,top
SW9,1u,Kailh_socket_MX_optional,191.075,-39.0525,180.0,top
SW10,1u,Kailh_socket_MX_optional,210.125,-39.0525,180.0,top
SW11,1u,Kailh_socket_MX_optional,229.175,-39.0525,180.0,top
SW12,1u,Kailh_socket_MX_optional,248.225,-39.0525,180.0,top
SW13,1u,Kailh_socket_MX_optional,267.275,-39.0525,180.0,top
SW14,2u,Kailh_socket_MX_optional,295.85,-39.0525,180.0,top
SW15,1.5u,Kailh_socket_MX_optional,43.4375,-58.1025,180.0,top
SW16,1u,Kailh_socket_MX_optional,67.25,-58.1025,180.0,top
SW17,1u,Kailh_socket_MX_optional,86.3,-58.1025,180.0,top
SW18,1u,Kailh_socket_MX_optional,105.35,-58.1025,180.0,top
SW19,1u,Kailh_socket_MX_optional,124.4,-58.1025,180.0,top
SW20,1u,Kailh_socket_MX_optional,143.45,-58.1025,180.0,top
SW21,1u,Kailh_socket_MX_optional,162.5,-58.1025,180.0,top
SW22,1u,Kailh_socket_MX_optional,181.55,-58.1025,180.0,top
SW23,1u,Kailh_socket_MX_optional,200.6,-58.1025,180.0,top
SW24,1u,Kailh_socket_MX_optional,219.65,-58.1025,180.0,top
SW25,1u,Kailh_socket_MX_optional,238.7,-58.1025,180.0,top
SW26,1u,Kailh_socket_MX_optional,257.75,-58.1025,180.0,top
SW27,1u,Kailh_socket_MX_optional,276.8,-58.1025,180.0,top
SW28,1.5u,Kailh_socket_MX_optional,300.6125,-58.1025,180.0,top
SW29,1u,Kailh_socket_MX,325.06,-58.1025,180.0,top
SW30,1.75u,Kailh_socket_MX_optional,45.8188,-77.1525,180.0,top
SW31,1u,Kailh_socket_MX_optional,72.0125,-77.1525,180.0,top
SW32,1u,Kailh_socket_MX_optional,91.0625,-77.1525,180.0,top
SW33,1u,Kailh_socket_MX_optional,110.1125,-77.1525,180.0,top
SW34,1u,Kailh_socket_MX_optional,129.1625,-77.1525,180.0,top
SW35,1u,Kailh_socket_MX_optional,148.2125,-77.1525,180.0,top
SW36,1u,Kailh_socket_MX_optional,167.2625,-77.1525,180.0,top
SW37,1u,Kailh_socket_MX_optional,186.3125,-77.1525,180.0,top
SW38,1u,Kailh_socket_MX_optional,205.3625,-77.1525,180.0,top
SW39,1u,Kailh_socket_MX_optional,224.4125,-77.1525,180.0,top
SW40,1u,Kailh_socket_MX_optional,243.4625,-77.1525,180.0,top
SW41,1u,Kailh_socket_MX_optional,262.5125,-77.1525,180.0,top
